institution_id,display_name,country_code,type_openalex,type_override,evidence,source_url,decided_by,date,locked
I205092303,Institut d'Etudes Politiques de Paris,FR,facility,education,"Sciences Po Paris: degree-awarding grande ecole (BA/MA/PhD in social sciences, political science); ROR also mistypes it 'facility' (types=['facility']) -- shared taxonomy gap, not evidence against HEI status; homepage sciencespo.fr confirms academic programmes.",https://api.ror.org/v2/organizations/05fe7ax82 ; https://www.sciencespo.fr,"E1 worker, Refinement 5",2026-08-28,True
I124261006,École Supérieure des Sciences Économiques et Commerciales (ESSEC),FR,other,education,"ESSEC Business School: AACSB/EQUIS/AMBA triple-accredited French grande ecole, awards Master in Management/MBA/PhD; ROR types=['other'] (same taxonomy gap as Sciences Po); homepage essec.edu confirms degree programmes.",https://api.ror.org/v2/organizations/02dga6j42 ; https://essec.edu,"E1 worker, Refinement 5",2026-08-28,True
I171246369,École Nationale Supérieure de Mécanique et d'Aérotechnique,FR,facility,education,"ISAE-ENSMA: CTI-accredited French engineering grande ecole (diplome d'ingenieur, Master, PhD), part of Groupe ISAE; ROR types=['facility'].",https://api.ror.org/v2/organizations/04jx68594 ; https://www.ensma.fr,"E1 worker, Refinement 5",2026-08-28,True
I29607241,École Normale Supérieure - PSL,FR,other,education,"ENS Paris: elite French grande ecole (concours-selective), awards Diplome de l'ENS/Master/PhD, member of PSL University; ROR types=['funder','other'].",https://api.ror.org/v2/organizations/05a0dhs15 ; https://www.ens.psl.eu,"E1 worker, Refinement 5",2026-08-28,True
I90669466,École des hautes études en sciences sociales,FR,facility,education,"EHESS: French grand etablissement / graduate school in social sciences, awards Master's and doctorates; ROR types=['facility','funder'].",https://api.ror.org/v2/organizations/02d9dg697 ; https://www.ehess.fr,"E1 worker, Refinement 5",2026-08-28,True
I4387154617,École & Observatoire des Sciences de la Terre,FR,facility,education,"EOST: internal engineering school of Universite de Strasbourg, CTI-accredited diplome d'ingenieur en geophysique; ROR types include 'education' (types=['education','facility']), corroborating the override.",https://api.ror.org/v2/organizations/030qxve40 ; https://eost.unistra.fr,"E1 worker, Refinement 5",2026-08-28,True
I230915877,The American College of Greece,GR,nonprofit,education,"Deree-ACG: US/Greek-accredited (NEASC) liberal-arts college in Athens, awards Bachelor's and Master's degrees; ROR types=['nonprofit'].",https://api.ror.org/v2/organizations/03vkake80 ; https://www.acg.edu,"E1 worker, Refinement 5",2026-08-28,True
I4210096580,Akademia Sztuk Pięknych w Gdańsku,PL,nonprofit,education,"Gdansk Academy of Fine Arts: Polish public art academy, degree-awarding (BA/MA in fine arts); ROR types=['nonprofit'].",https://api.ror.org/v2/organizations/00andm809 ; https://en.asp.gda.pl/,"E1 worker, Refinement 5",2026-08-28,True
I4210100923,Munster Technological University,IE,facility,education,"MTU: full Irish technological university (2021 merger of Cork IT + IT Tralee), ~18,000 students, awards degrees level 6-10 incl. PhD; ROR types=['facility','funder'].",https://api.ror.org/v2/organizations/013xpqh61 ; https://www.mtu.ie/,"E1 worker, Refinement 5",2026-08-28,True
I52066220,Instituto Superior da Maia,PT,facility,education,"ISMAI / Instituto Universitario da Maia: private Portuguese university institute, degree-awarding (licenciatura/mestrado); alternative name itself contains 'Instituto Universitario'; ROR types=['facility'].",https://api.ror.org/v2/organizations/04f761z39 ; http://www.maieutica.pt/,"E1 worker, Refinement 5",2026-08-28,True
I7478328,Waterford Institute of Technology,IE,nonprofit,education,"WIT: Irish Institute of Technology, degree-awarding (levels 6-10) under Irish law until its 2021 merger into South East Technological University (hence ROR status=inactive, types=['funder','nonprofit']); historical works correctly attributed to a degree-granting HEI.",https://api.ror.org/v2/organizations/03ypxwh20 ; http://www.wit.ie/,"E1 worker, Refinement 5",2026-08-28,True
I4210107720,CentraleSupélec,FR,facility,education,"CentraleSupélec: CTI-accredited French grande ecole (diplome d'ingenieur, Master's, PhD), founding member of Universite Paris-Saclay; ROR types=['facility'] (verified live 2026-08-28 -- same taxonomy gap as Sciences Po/ESSEC/ENSMA, not evidence against HEI status); homepage centralesupelec.fr confirms degree programmes. Added at the E7 fix cycle after the method/client hostile review (finding 11) flagged it as a confirmed miss from the original 618-candidate regex review: its name matches the 'centrale' keyword, so it was almost certainly adjudicated during that pass and wrongly left as facility -- meaning the review's recall on the harder, less-famous candidates is unverified (disclosed in GATE_MEMO_rev6.md).",https://api.ror.org/v2/organizations/019tcpt25 ; https://www.centralesupelec.fr,"E7 fix cycle, manager ruling 3",2026-08-28,True
I4210119716,Netherlands Defence Academy,NL,facility,education,"User ruling 2026-08-28 (gate rev 6, ruling 3): NLDA is education",user-gate-rev6,"user ruling via manager, gate rev 6",2026-08-28,True
I4210138806,General Jonas Zemaitis Military Academy of Lithuania,LT,government,education,"User ruling 2026-08-28 (gate rev 6, ruling 3): military academy is education",user-gate-rev6,"user ruling via manager, gate rev 6",2026-08-28,True
I205703379,Institut Mines-Telecom,FR,facility,education,"User ruling 2026-08-28 (gate rev 6, ruling 3): IMT is education",user-gate-rev6,"user ruling via manager, gate rev 6",2026-08-28,True
I4210153845,Fundacion Universitaria Iberoamericana (FUNIBER),ES,other,funder,"User ruling 2026-08-28 (gate rev 6, ruling 3): FUNIBER is a funder",user-gate-rev6,"user ruling via manager, gate rev 6",2026-08-28,True
